타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오후 7:40:03,session_1770374188941_xqyfv8efu,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutTitle"":""공간 무드"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:40:05,session_1770374188941_xqyfv8efu,기획1-1_화면,버튼 클릭,저장하기,"{""memoCount"":2,""totalCuts"":6,""totalMemoLength"":7,""avgMemoLength"":""3.5"",""memoDetails"":[{""cutId"":1,""hasMemo"":true,""memoLength"":4},{""cutId"":2,""hasMemo"":true,""memoLength"":3},{""cutId"":3,""hasMemo"":false,""memoLength"":0},{""cutId"":4,""hasMemo"":false,""memoLength"":0},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:40:09,session_1770374188941_xqyfv8efu,기획1-1_화면,미션 완료,기획1-1_미션완료,"완료시간:16.2초,메모수:2,총길이:7",기획1-1_미션완료 미션 완료,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:40:12,session_1770374188941_xqyfv8efu,기획1-1_화면,화면 이탈,,23.9초,기획1-1_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:40:16,session_1770374188941_xqyfv8efu,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:40:20,session_1770374188941_xqyfv8efu,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:41:49,session_1770374508477_61g3rdngi,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:41:52,session_1770374508477_61g3rdngi,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:41:55,session_1770374508477_61g3rdngi,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:41:58,session_1770374508477_61g3rdngi,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:41:58,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:01,session_1770374508477_61g3rdngi,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:04,session_1770374508477_61g3rdngi,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:04,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:09,session_1770374508477_61g3rdngi,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:13,session_1770374508477_61g3rdngi,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:13,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:17,session_1770374508477_61g3rdngi,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:19,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:20,session_1770374508477_61g3rdngi,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:22,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:42:23,session_1770374508477_61g3rdngi,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:02,session_1770374641664_18cbrlzfy,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:05,session_1770374641664_18cbrlzfy,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:08,session_1770374641664_18cbrlzfy,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:11,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:11,session_1770374641664_18cbrlzfy,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:14,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:15,session_1770374641664_18cbrlzfy,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:17,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:18,session_1770374641664_18cbrlzfy,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:21,session_1770374641664_18cbrlzfy,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:24,session_1770374641664_18cbrlzfy,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:26,session_1770374641664_18cbrlzfy,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:29,session_1770374641664_18cbrlzfy,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:32,session_1770374641664_18cbrlzfy,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:34,session_1770374641664_18cbrlzfy,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:35,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:36,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:37,session_1770374641664_18cbrlzfy,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:41,session_1770374641664_18cbrlzfy,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:41,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:44,session_1770374641664_18cbrlzfy,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:47,session_1770374641664_18cbrlzfy,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:50,session_1770374641664_18cbrlzfy,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:53,session_1770374641664_18cbrlzfy,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:56,session_1770374641664_18cbrlzfy,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:44:57,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:45:12,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:39,session_1770374798382_x2zcm4efk,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:42,session_1770374798382_x2zcm4efk,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:45,session_1770374798382_x2zcm4efk,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:49,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:50,session_1770374798382_x2zcm4efk,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:50,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:53,session_1770374798382_x2zcm4efk,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:54,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:56,session_1770374798382_x2zcm4efk,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:56,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:46:59,session_1770374798382_x2zcm4efk,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:02,session_1770374798382_x2zcm4efk,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:05,session_1770374798382_x2zcm4efk,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:08,session_1770374798382_x2zcm4efk,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:09,,기획1-1_화면,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:11,session_1770374798382_x2zcm4efk,기획1-1,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:14,session_1770374798382_x2zcm4efk,기획1-1_화면,화면 진입,,,기획1-1_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:17,session_1770374798382_x2zcm4efk,기획1-1_화면,화면 이탈,,0.0초,기획1-1_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:20,session_1770374798382_x2zcm4efk,기획1-1_화면,화면 진입,,,기획1-1_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:20,,기획1-2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:24,session_1770374798382_x2zcm4efk,기획1-1_화면,미션 시작,기획1-1_미션시작,,기획1-1_미션시작 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:27,session_1770374798382_x2zcm4efk,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:29,session_1770374798382_x2zcm4efk,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:33,session_1770374798382_x2zcm4efk,기획1-1_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""memoLength"":4,""memoText"":""test""}",메모입력완료 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:36,session_1770374798382_x2zcm4efk,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:40,session_1770374798382_x2zcm4efk,기획1-1_화면,버튼 클릭,저장하기,"{""memoCount"":1,""totalCuts"":6,""totalMemoLength"":4,""avgMemoLength"":""4.0"",""memoDetails"":[{""cutId"":1,""hasMemo"":true,""memoLength"":4},{""cutId"":2,""hasMemo"":false,""memoLength"":0},{""cutId"":3,""hasMemo"":false,""memoLength"":0},{""cutId"":4,""hasMemo"":false,""memoLength"":0},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:43,session_1770374798382_x2zcm4efk,기획1-1_화면,미션 완료,기획1-1_미션완료,"완료시간:5.1초,메모수:1,총길이:4",기획1-1_미션완료 미션 완료,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:47,session_1770374798382_x2zcm4efk,기획1-1_화면,화면 이탈,,13.2초,기획1-1_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:49,session_1770374798382_x2zcm4efk,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:47:53,session_1770374798382_x2zcm4efk,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:48:54,session_1770374798382_x2zcm4efk,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:48:54,session_1770374933542_6ujkhycml,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:48:56,session_1770374933542_6ujkhycml,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:48:57,session_1770374798382_x2zcm4efk,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:00,session_1770374933542_6ujkhycml,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:04,session_1770374933542_6ujkhycml,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:04,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:05,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:07,session_1770374933542_6ujkhycml,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:09,,기획1-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:11,session_1770374933542_6ujkhycml,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:13,session_1770374951922_f421c8kh8,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
