타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 5 오후 11:47:50,session_1770302867354_hxxuvkpx3,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 6 오전 12:08:08,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:09,session_1770302915208_te36vyjba,기획1-1A,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:12,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,3,cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:14,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,3,cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:16,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,3,cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:17,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,저장하기,"{""memoCount"":1,""totalCuts"":6,""totalMemoLength"":3,""avgMemoLength"":""3.0"",""memoDetails"":[{""cutId"":1,""hasMemo"":false,""memoLength"":0},{""cutId"":2,""hasMemo"":false,""memoLength"":0},{""cutId"":3,""hasMemo"":true,""memoLength"":3},{""cutId"":4,""hasMemo"":false,""memoLength"":0},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:19,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,저장하기,"{""memoCount"":1,""totalCuts"":6,""totalMemoLength"":3,""avgMemoLength"":""3.0"",""memoDetails"":[{""cutId"":1,""hasMemo"":false,""memoLength"":0},{""cutId"":2,""hasMemo"":false,""memoLength"":0},{""cutId"":3,""hasMemo"":true,""memoLength"":3},{""cutId"":4,""hasMemo"":false,""memoLength"":0},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:20,session_1770302915208_te36vyjba,기획1-1A_화면,미션 완료,기획1-1_A미션완료,"완료시간:12.0초,메모수:1,총길이:3",기획1-1_A미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:21,session_1770302915208_te36vyjba,기획1-1A_화면,미션 완료,기획1-1_A미션완료,"완료시간:13.2초,메모수:1,총길이:3",기획1-1_A미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:22,session_1770302915208_te36vyjba,기획1-1A_화면,화면 이탈,,13.9초,기획1-1A_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:22,session_1770302915208_te36vyjba,기획1-1B,화면 진입,,,기획1-1B 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:25,session_1770302915208_te36vyjba,기획1-1B_화면,화면 진입,,,기획1-1B_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:25,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,1,cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:25,session_1770302915208_te36vyjba,기획1-1B,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:26,session_1770302915208_te36vyjba,기획1-1B_화면,미션 시작,기획1-1_B미션시작,,기획1-1_B미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:29,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,저장하기,"{""memoCount"":1,""totalCuts"":3,""totalMemoLength"":4,""avgMemoLength"":""4.0"",""memoDetails"":[{""cutId"":1,""cutLabel"":""1"",""hasMemo"":true,""memoLength"":4},{""cutId"":2,""cutLabel"":""2 - 5"",""hasMemo"":false,""memoLength"":0},{""cutId"":3,""cutLabel"":""6"",""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:32,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,저장하기,"{""memoCount"":1,""totalCuts"":3,""totalMemoLength"":4,""avgMemoLength"":""4.0"",""memoDetails"":[{""cutId"":1,""cutLabel"":""1"",""hasMemo"":true,""memoLength"":4},{""cutId"":2,""cutLabel"":""2 - 5"",""hasMemo"":false,""memoLength"":0},{""cutId"":3,""cutLabel"":""6"",""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:33,session_1770302915208_te36vyjba,기획1-1B_화면,미션 완료,기획1-1_B미션완료,"완료시간:8.7초,메모수:1,총길이:4",기획1-1_B미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:35,session_1770302915208_te36vyjba,기획1-1B_화면,미션 완료,기획1-1_B미션완료,"완료시간:10.2초,메모수:1,총길이:4",기획1-1_B미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:35,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:38,session_1770302915208_te36vyjba,기획1-1B_화면,화면 이탈,,11.3초,기획1-1B_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
